document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response
71,who is both the chief financial officer and senior executive vice president of the company which is the borrower in the agreement,paul m. todd,3,1,0,Paul M. Todd
170,who is both the treasurer and vice president of the company which is the borrower in the agreement,richard lautch,3,1,0,Richard Lautch
58,who is both the chief executive officer and president of the company which is the guarantors in the agreement,dennis m. lanfear,3,1,0,Dennis M. Lanfear
41,who is both the general counsel and senior vice president of the company which is the borrower in the agreement,martin h. dodd,3,1,0,Martin H. Dodd
55,who is both the chief and executive vice president of the company which is the borrower in the agreement,j. larry sorsby,3,1,0,J. Larry Sorsby
168,who is both the treasurer and vice president of the company which is the borrower in the agreement,robert t. paternostro,3,1,0,Robert T. Paternostro
6,who is both the deputy branch manager and vice president of the company which is the lender in the agreement,ying chen,3,1,0,Ying Chen
54,who is both the managing director and senior vice president of the company which is the borrower in the agreement,jonathan olsen,3,1,0,Jonathan Olsen
56,"who is both the executive vice president, general counsel and secretary of the company which is the borrower in the agreement",paul m. robinson,3,1,0,Paul M. Robinson
143,who is both the chief financial officer and president of the company which is the guarantors in the agreement,michael j. skipworth,3,1,0,Not found
142,who is both the controller and principal financial officer of the company which is the borrower in the agreement,nathaniel a. brown,3,1,0,Nathaniel A. Brown
142,"who is both the corporate secretary and vice president, law of the company which is the guarantor in the agreement",christine r. johnston,3,1,0,Christine R. Johnston
142,"who is both the treasurer and vice president, finance of the company which is the guarantor in the agreement",joel e. hunter,3,1,0,Joel E. Hunter
80,who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement,michael e. mcdevitt,3,1,0,Michael E. McDevitt
1,who is both the treasurer and vice president of the company which is the borrower in the agreement,mark constant,3,1,0,Mark Constant
90,who is both the treasurer and vice president of the company which is the lender in the agreement,william c. whitaker,3,1,0,Not found
91,who is both the chief executive officer and president of the company which is the borrower in the agreement,ray singleton,3,1,0,Ray Singleton
46,who is both the chief executive officer and manager of the company which is the guarantors in the agreement,james pinto,3,1,0,James Pinto
52,who is both the treasurer and vice president of tax of the company which is the borrower in the agreement,charles r. conradi,3,1,0,Charles R. Conradi
2,who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement,navdeep gupta,3,1,0,Navdeep Gupta
151,"who is both the treasurer and vice president, tax and treasury of the company which is the borrowers in the agreement",anthony h. smith,3,1,0,Anthony H. Smith
87,who is both the chief financial officer and senior vice president of the company which is the borrower in the agreement,ronald d. ford,3,1,0,Ronald D. Ford
87,who is both the treasurer and vice president of the company which is the lender in the agreement,douglas b. bingham,3,1,0,Not found
86,who is both the cfo and executive vice president of the company which is the guarantors in the agreement,chris power,3,1,0,Chris Power
51,"who is both the treasurer and vice president, finance of the company which is the borrower in the agreement",zamir rauf,3,1,0,Zamir Rauf
35,who is both the chief financial officer and senior vice president of the company which is the borrower in the agreement,john p. rielly,3,1,0,John P. Rielly
35,who is both the general counsel and senior vice president of the company which is the borrower in the agreement,timothy b. goodell,3,1,0,Timothy B. Goodell
21,who is both the secretary and treasurer of the company which is the borrower in the agreement,dawn m. wilson,3,1,0,Dawn M. Wilson
135,who is both the treasurer and vice president of the company which is the borrower in the agreement,sharon s. spurlin,3,1,0,Sharon S. Spurlin
34,who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement,cameron m. bready,3,1,0,Not found
119,who is both the chief operating officer and president of the company which is the borrower in the agreement,w. russell scheirman,3,1,0,W. Russell Scheirman
19,who is both the ceo and president of the company which is the borrower in the agreement,terry w. handley,3,1,0,Terry W. Handley
132,"who is both the executive vice president, chief financial officer and treasurer and vice president and treasurer of the company which is the guarantors in the agreement",gary g. zyla,3,1,0,Gary G. Zyla
127,who is both the treasurer and vice president of the company which is the borrower in the agreement,michael dambach,3,1,0,Michael Dambach
102,"who is both the chief financial officer and president of the company associated with 1048 industrial court, suite e suwanee, ga 30024",jeffry r. keyes,3,1,0,Jeffry R. Keyes
28,"who is both the ceo and managing member of the company associated with cayman corporate centre, 27 hospital road,george town, grand cayman ky1 9008",pedro gonzalez de cosio,3,1,0,Pedro Gonzalez de Cosio
28,"who is both the ceo and managing member of the company associated with 110 east 59th street, new york, ny 10022",pedro gonzalez de cosio,3,1,0,Pedro Gonzalez de Cosio
100,"who is both the chief legal and administrative officer and vice president of the company associated with 590 e. middlefield roadmountain view, ca 94043 4008",dan johnston,3,1,0,Dan Johnston
10,"who is both the chief financial officer and treasuruer of the company associated with 4900 tiedeman road 4th floorbrooklyn, oh 44144",terence f. sullivan,3,1,0,Terence F. Sullivan
12,"who is both the global treasurer and senior vice president of the company associated with 108 wilmot roaddeerfield, il 60015",aidan clare,3,1,0,Aidan Clare
88,"who is both the chief financial officer and president of the company associated with 6922 hollywood blvd., suite 500los angeles, ca 90028",r. scott turicchi,3,1,0,R. Scott Turicchi
72,"who is both the treasurer and vice president of the company associated with 1000 stanley drivenew britain, connecticut 06053",craig a. douglas,3,1,0,Craig A. Douglas
165,"who is both the corporate secretary and general counsel of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",colleen batcheler,3,1,0,Colleen Batcheler
82,who is both the treasurer and vice president of the company associated with 04 2052042,david c. francisco,3,1,0,David C. Francisco
168,"who is both the treasurer and vice president of the company associated with 1000 stanley drivenew britain, connecticut 06053",robert t. paternostro,3,1,0,Robert T. Paternostro
54,"who is both the managing director and senior vice president of the company associated with c o blackstone real estate advisors l.p., 345 park avenue, new york, new york 10154",jonathan olsen,3,1,0,Jonathan Olsen
156,who is both the chief financial officer and vice president of the company associated with u.s.,henk derksen,3,1,0,Henk Derksen
91,"who is both the chief executive officer and president of the company associated with 633 17th street, suite 1900denver, colorado 80202 3619",ray singleton,3,1,0,Ray Singleton
52,"who is both the treasurer and vice president of tax of the company associated with 1221 broadway oakland, california 94612",charles r. conradi,3,1,0,Charles R. Conradi
51,"who is both the treasurer and vice president, finance of the company associated with 717 texas avenue suite 1000 houston, tx 77002",zamir rauf,3,1,0,Zamir Rauf
35,"who is both the chief financial officer and senior vice president of the company associated with 1185 avenue of the americasnew york, new york 10036",john p. rielly,3,1,0,John P. Rielly
35,"who is both the general counsel and senior vice president of the company associated with 1185 avenue of the americasnew york, new york 10036",timothy b. goodell,3,1,0,Timothy B. Goodell
128,who is both the director and market manager of the company where gill skala is employed,leni preciado,3,1,0,Not found
128,who is both the director and market manager of the company where mario de luca is employed,leni preciado,3,1,0,Not found
11,who is both the vice president and treasurer of the company where carolyn kee is employed,john j. tus,3,1,0,Not found
11,who is both the vice president and treasurer of the company where virginia cosenza is employed,john j. tus,3,1,0,Not found
139,who is both the chief financial officer and senior vice president of the company where shivani agarwal is employed,jay a. brown,3,1,0,Not found
139,who is both the authorized signatory and vice president of the company where eric ridgway is employed,michael king,3,1,0,Not found
139,who is both the authorized signatory and vice president of the company where lennie blakeslee is employed,michael king,3,1,0,Not found
139,who is both the authorized signatory and vice president of the company where michael vondriska is employed,michael king,3,1,0,Not found
139,who is both the authorized signatory and vice president of the company where ronnie glenn is employed,michael king,3,1,0,Not found
12,who is both the senior vice president and global treasurer of the company where gr inne kelly is employed,aidan clare,3,1,0,Aidan Clare
12,who is both the senior vice president and global treasurer of the company where john devlin is employed,aidan clare,3,1,0,Aidan Clare
12,who is both the senior vice president and global treasurer of the company where sara la berg is employed,aidan clare,3,1,0,Aidan Clare
12,"who is both the general counsel and executive vice president, of the company where gr inne kelly is employed",marco pagni,3,1,0,Marco Pagni
12,"who is both the general counsel and executive vice president, of the company where john devlin is employed",marco pagni,3,1,0,Marco Pagni
12,"who is both the general counsel and executive vice president, of the company where sara la berg is employed",marco pagni,3,1,0,Marco Pagni
106,who is both the director and vice president of the company where michael getz is employed,kirkwood roland,3,1,0,Kirkwood Roland
106,who is both the director and vice president of the company where vanessa a. kurbatskiy is employed,kirkwood roland,3,1,0,Not found
48,who is both the vice president law assistant and corporate secretary of the company where jonathan rose is employed,chris kaitson,3,1,0,Chris Kaitson
61,who is both the director and vice president of the company where amanuel assefa is employed,jim cahow,3,1,0,Not found
61,who is both the director and vice president of the company where bridgett j. manduk mowry is employed,jim cahow,3,1,0,Not found
61,who is both the director and vice president of the company where christopher shafto is employed,jim cahow,3,1,0,Not found
61,who is both the director and vice president of the company where liz cheng is employed,jim cahow,3,1,0,Not found
61,who is both the director and vice president of the company where marko lukin is employed,jim cahow,3,1,0,Director
89,who is both the chief financial officer and managing director of the company where james b. pekarek is employed,charles p. holden,3,1,0,Not found
89,who is both the vp finance and treasurer of the company where james pekarek is employed,lee neumann,3,1,0,Matthew McCabe
89,who is both the vp finance and treasurer of the company where matthew mccabe is employed,lee neumann,3,1,0,Matthew McCabe
99,who is both the president and treasurer of the company where s. victoria harvey is employed,doug couvillion,3,1,0,Not found
9,who is both the chief financial officer and senior vice president of the company where eric searls is employed,mark e. newman,3,1,0,Mark E. Newman
9,who is both the chief financial officer and senior vice president of the company where jonathan m. phillips is employed,mark e. newman,3,1,0,Mark E. Newman
58,who is both the president and chief executive officer of the company where michael fleming is employed,dennis m. lanfear,3,1,0,Not found
140,who is both the director and authorized signatory of the company where sean mckinley is employed,demetrios tserpelis,3,1,0,Not found
140,who is both the director and authorized signatory of the company where tony traynor is employed,demetrios tserpelis,3,1,0,Not found
83,who is both the senior vice president and general counsel of the company where andrew hietala is employed,michael ray,3,1,0,Michael Ray
83,who is both the senior vice president and general counsel of the company where michael dixon is employed,michael ray,3,1,0,Michael Ray
83,who is both the senior vice president and general counsel of the company where rita e. dillon is employed,michael ray,3,1,0,Michael Ray
83,who is both the senior vice president and general counsel of the company where steve levi is employed,michael ray,3,1,0,Michael Ray
83,who is both the senior vice president and general counsel of the company where steve ryan is employed,michael ray,3,1,0,Michael Ray
83,who is both the senior vice president and general counsel of the company where tim leyden is employed,michael ray,3,1,0,Michael Ray
83,who is both the senior vice president and general counsel of the company where timothy leyden is employed,michael ray,3,1,0,Michael Ray
54,who is both the managing director and senior vice president of the company where chuckie reddy is employed,jonathan olsen,3,1,0,Not found
42,who is both the chief financial officer and senior vice president of the company where alan garson is employed,michael j. bufano,3,1,0,Not found
142,"who is both the vice president, law and corporate secretary of the company where jon a. dobson is employed",christine r. johnston,3,1,0,Not found
142,"who is both the treasurer and vice president, finance of the company where jon a. dobson is employed",joel e. hunter,3,1,0,Not found
156,who is both the chief financial officer and director of the company where guelay mese is employed,henk derksen,3,1,0,Guelay Mese
5,who is both the senior vice president and vice president of the company where denise smyth is employed,roy e. alexander,3,1,0,Not found
5,who is both the senior vice president and vice president of the company where robert masters is employed,roy e. alexander,3,1,0,Not found
90,who is both the vice president and treasurer of the company where christopher a. salek is employed,william c. whitaker,3,1,0,Not found
90,who is both the vice president and treasurer of the company where michael vondriska is employed,william c. whitaker,3,1,0,Not found
84,who is both the senior vice president and treasurer of the company where brian tuerff is employed,michael a. crabtree,3,1,0,Not found
84,who is both the senior vice president and treasurer of the company where james m. armstrong is employed,michael a. crabtree,3,1,0,Not found
84,who is both the senior vice president and treasurer of the company where samuel a. bluso is employed,michael a. crabtree,3,1,0,Not found
52,who is both the vice president of tax and treasurer of the company where laura stein is employed,charles r. conradi,3,1,0,Charles R. Conradi
145,who is both the director and vice president of the company where guy major is employed,joseph d. glatt,3,1,0,Not found
145,who is both the director and vice president of the company where tammy jennissen is employed,joseph d. glatt,3,1,0,Not found
87,who is both the chief financial officer and senior vice president of the company where jennifer yan is employed,ronald d. ford,3,1,0,Not found
87,who is both the vice president and treasurer of the company where sarah c. lesser is employed,douglas b. bingham,3,1,0,Not found
35,who is both the chief financial officer and senior vice president of the company where devon j. lang is employed,john p. rielly,3,1,0,Not found
35,who is both the chief financial officer and senior vice president of the company where joe hykle is employed,john p. rielly,3,1,0,Not found
35,who is both the chief financial officer and senior vice president of the company where kelton glasscock is employed,john p. rielly,3,1,0,Not found
35,who is both the chief financial officer and senior vice president of the company where sophia love is employed,john p. rielly,3,1,0,Not found
35,who is both the senior vice president and general counsel of the company where devon j. lang is employed,timothy b. goodell,3,1,0,Not found
35,who is both the senior vice president and general counsel of the company where joe hykle is employed,timothy b. goodell,3,1,0,Not found
35,who is both the senior vice president and general counsel of the company where kelton glasscock is employed,timothy b. goodell,3,1,0,Not found
35,who is both the senior vice president and general counsel of the company where sophia love is employed,timothy b. goodell,3,1,0,Not found
121,who is both the general manager and vp of the company where murtuza ziauddin is employed,jane chang,3,1,0,Not found
121,who is both the director and svp of the company where chris hursey is employed,paul hultgren,3,1,0,Not found
121,who is both the director and svp of the company where steven r. bruno is employed,paul hultgren,3,1,0,Steven R. Bruno
121,who is both the vice president and general counsel of the company where daniel vilarelle is employed,peter c. underwood,3,1,0,Not found
121,who is both the vice president and general counsel of the company where darran wee is employed,peter c. underwood,3,1,0,Not found
121,who is both the vice president and general counsel of the company where eric harvey is employed,peter c. underwood,3,1,0,Not found
121,who is both the vice president and general counsel of the company where mary r. wright is employed,peter c. underwood,3,1,0,Not found
121,who is both the vice president and general counsel of the company where s. bradley mcdougall is employed,peter c. underwood,3,1,0,Not found
121,who is both the vice president and general counsel of the company where shirley shipley is employed,peter c. underwood,3,1,0,Not found
135,who is both the vice president and treasurer of the company where christine aharonian is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where gabriel juarez is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where john c. lozano is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where reginald crichlow is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where rosanne parsill is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where david valentine is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where les werme is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where m. colin warman is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where mark oberreuter is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where shannon juhan is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where virginia cosenza is employed,sharon s. spurlin,3,1,0,Not found
135,who is both the vice president and treasurer of the company where hans beekmans is employed,sharon s. spurlin,3,1,0,Not found
109,who is both the ceo and chief executive officer and chairman of the board of the company where denis yevstifeyey is employed,christopher j. spencer,3,1,0,Christopher J. Spencer
109,who is both the ceo and chief executive officer and chairman of the board of the company where douglas polinksy is employed,christopher j. spencer,3,1,0,Christopher J. Spencer
109,who is both the ceo and chief executive officer and chairman of the board of the company where j. gregory smith is employed,christopher j. spencer,3,1,0,Christopher J. Spencer
109,who is both the ceo and chief executive officer and chairman of the board of the company where john busshaus is employed,christopher j. spencer,3,1,0,Christopher J. Spencer
34,who is both the chief financial officer and executive vice president of the company where rejji p. hayes is employed,cameron m. bready,3,1,0,Cameron M. Bready
34,who is both the vice president and general counsel of the company where rejji p. hayes is employed,wendy a. mcintyre,3,1,0,Wendy A. McIntyre
26,who is both the senior vice president and treasurer of the company where katherine.kelly is employed,jeffrey galik,3,1,0,Jeffrey Galik
26,who is both the senior vice president and treasurer of the company where katherine kelly is employed,jeffrey galik,3,1,0,Jeffrey Galik
26,who is both the senior vice president and treasurer of the company where jeffrey.galik is employed,jeffrey galik,3,1,0,Jeffrey Galik
11,"what is the address of the loan and agency services group, office of the company which is both the  lead arrangers and co book managers in the agreement","floor 3, de 19713, ops 2500 stanton christiana rd.newark",3,1,0,"Loan and Agency Services Group, Floor 3, Ops 2, 500 Stanton Christiana Rd, Newark DE 19713"
72,what is the address of the uk branch office of the company which is both the lead and arrangers in the agreement,"england e14 5lb, 25 canada squarecanary wharflondon",3,1,0,Not found
166,what is the address of the zonal office office of the company which is both the lender and bookrunners in the agreement,dubai uae,3,1,0,Dubai UAE
166,what is the address of the corporate office office of the company which is both the lender and bookrunners in the agreement,"usa, atlanta, ga 30326, suite 2000, 3560 lenox road, two alliance center",3,1,0,Not found
166,what is the address of the zonal office office of the company which is both the holdings and subsidiary in the agreement,dubai uae,3,1,0,Not found
166,what is the address of the corporate office office of the company which is both the holdings and subsidiary in the agreement,"usa, atlanta, ga 30326, suite 2000, 3560 lenox road, two alliance center",3,1,0,"Two Alliance Center, 3560 Lenox Road, Suite 2000, Atlanta, GA 30326, USA"
165,what is the address of the agency management office of the company which is both the lender and administrative agent in the agreement,"ca 94104, 4th floorsan francisco, mail code ca5 705 04 09555 california street",3,1,0,"Bank of America, N.A. Agency Management Mail Code: CA5-705-04-09 555 California Street, 4th Floor San Francisco, CA 94104"
91,what is the address of the address for notices office of the company which is both the lender and lender in the agreement,"colorado 80202, suite 1100denver, bank of oklahoma1625 broadway",3,1,0,"Bank of Oklahoma 1625 Broadway, Suite 1100 Denver, Colorado 80202"
91,what is the address of the payment processing center office of the company which is both the lender and lender in the agreement,"oklahoma 73124 8817, p.o. box 248817oklahoma city",3,1,0,"Bank of Oklahoma Payment Processing Center P.O. Box 248817 Oklahoma City, Oklahoma 73124-8817"
44,what is the address of the trade finance office of the company which is both the l c issuer and lender in the agreement,"pa6 580 02 301 fleet wayscranton, pa 18507attention alfonso malave jr.",3,1,0,"Trade Finance PA6-580-02-30 1 Fleet Way Scranton, PA 18507"
138,who are the senior vice presidents of the company which is the lender in the agreement,"nicolas zitelli, frederick h. denecke",3,0,1,"Frederick H. Denecke, Nicolas Zitelli"
138,"what roles does pnc bank, national association have in the agreement which are not the roles of u.s. bank, national association","lender, administrative agent",2,1,1,Administrative Agent
139,who are the senior vice presidents of the company which is the borrower in the agreement,"jay a. brown, shivani agarwal",3,0,1,Jay A. Brown
139,who are the managing directors of the company which is the administrative agent lender in the agreement,"david clark, david w. kee, tanya crossley",3,0,1,"Bruce S. Borden, David W. Kee, Glen Mastey, David Clark"
139,who are the managing directors of the company which is the issuing bank lender in the agreement,"david clark, david w. kee, tanya crossley",3,0,1,Not found
139,who are the authorized signatorys of the company which is the administrative agent lender in the agreement,"savo bozic, michael king, sheldon pinto, bertram h. tang",3,0,1,"Bertram H. Tang, Savo Bozic"
139,who are the authorized signatorys of the company which is the issuing bank lender in the agreement,"savo bozic, michael king, sheldon pinto, bertram h. tang",3,0,1,Not found
139,who are the vice presidents of the company which is the administrative agent lender in the agreement,"eric ridgway, michael king, ronnie glenn, lennie blakeslee, michael vondriska",3,0,1,"Eric Ridgway, Ronnie Glenn, Lennie Blakeslee, Michael Vondriska, Shivani Agarwal, Christopher Keenan"
139,who are the vice presidents of the company which is the issuing bank lender in the agreement,"eric ridgway, michael king, ronnie glenn, lennie blakeslee, michael vondriska",3,0,1,Not found
139,who are the directors of the company which is the administrative agent lender in the agreement,"linda tam, ola anderssen, kestrina budina, peter c. rogers, cynthia w. burton",3,0,1,"Ola Anderssen, Cynthia W. Burton, Peter C. Rogers, Kestrina Budina, Linda Tam"
139,who are the directors of the company which is the issuing bank lender in the agreement,"linda tam, ola anderssen, kestrina budina, peter c. rogers, cynthia w. burton",3,0,1,Not found
139,what companies are the  lead arrangers but not the  bookrunners in the agreement,"pierce, citigroup global markets inc.",2,1,1,Not found
161,who are the senior vice presidents of the company which is the lender in the agreement,"john wilgus, sean apicella",3,0,1,"Sean Apicella, John Wilgus"
161,who are the vice presidents of the company which is the co syndication agents in the agreement,"joe white, thomas z. schmitt",3,0,1,Joe White
161,who are the vice presidents of the company which is the  lead arrangers in the agreement,"joe white, thomas z. schmitt",3,0,1,"Joe White, Thomas Z. Schmitt"
161,who are the vice presidents of the company which is the lender in the agreement,"joe white, thomas z. schmitt",3,0,1,"Thomas Z. Schmitt, Joe White"
161,who are the directors of the company which is the co syndication agents in the agreement,"ryan almond, jonas robinson",3,0,1,"Ryan Almond, Jonas Robinson"
161,who are the directors of the company which is the lender in the agreement,"ryan almond, jonas robinson",3,0,1,"Ryan Almond, Jonas Robinson, Sean Apicella, John Wilgus, Zachary Braun"
161,what companies are the  lead arrangers but not the lender in the agreement,"inc., truist securities, bmo capital markets",2,1,1,"KEYBANC CAPITAL MARKETS INC., TRUIST SECURITIES, INC., BMO CAPITAL MARKETS, THE HUNTINGTON NATIONAL BANK"
160,who are the vice presidents of the company which is the issuing bank in the agreement,"joseph siri, martin corrigan",3,0,1,"Robert G. Shaw, Joseph Siri, Martin Corrigan"
160,who are the directors of the company which is the issuing bank in the agreement,"steve curran, amanuel assefa",3,0,1,"Amanuel Assefa, Steve Curran"
160,"what roles does barclays bank plc have in the agreement which are not the roles of bofa securities, inc","issuing bank, administrative agent",2,1,1,"Administrative Agent, Lender, Issuing Bank, Swingline Lender"
160,"what roles does barclays bank plc have in the agreement which are not the roles of morgan stanley senior funding, inc","issuing bank, administrative agent",2,1,1,"Administrative Agent, Lender, Issuing Bank, Swingline Lender"
160,"what roles does barclays bank plc have in the agreement which are not the roles of jpmorgan chase bank, n.a.","bookrunners, administrative agent",2,1,1,"Administrative Agent, Lender, Issuing Bank, Swingline Lender"
160,what companies are the issuing bank but not the  bookrunners in the agreement,"n.a., ltd., citibank, mufg bank, truist bank, bank of america, jpmorgan chase bank, morgan stanley bank",2,1,1,"Citibank, N.A., MUFG Bank, Ltd., Truist Bank"
160,what companies are the issuing bank but not the  lead arrangers in the agreement,"n.a., ltd., citibank, mufg bank, truist bank, bank of america, morgan stanley bank",2,1,1,"Citibank, N.A., MUFG Bank, Ltd., Truist Bank"
148,who are the vice presidents of the company where mukesh singh is employed,"meng zhang, will hicks, liliana claar, rumesha ahmed, karim remtoula",3,0,1,Not found
148,who are the directors of the company where karim remtoula is employed,"craig malloy, mukesh singh, todd kennedy, jonathan eady, katherine bass",3,0,1,Not found
148,who are the directors of the company where liliana claar is employed,"craig malloy, mukesh singh, todd kennedy, jonathan eady, katherine bass",3,0,1,Not found
148,who are the directors of the company where meng zhang is employed,"craig malloy, mukesh singh, todd kennedy, jonathan eady, katherine bass",3,0,1,Not found
148,who are the vice presidents of the company where katherine bass is employed,"meng zhang, will hicks, liliana claar, rumesha ahmed, karim remtoula",3,0,1,Not found
148,who are the vice presidents of the company where todd kennedy is employed,"meng zhang, will hicks, liliana claar, rumesha ahmed, karim remtoula",3,0,1,Not found
148,who are the vice presidents of the company where jonathan eady is employed,"meng zhang, will hicks, liliana claar, rumesha ahmed, karim remtoula",3,0,1,Not found
148,who are the vice presidents of the company where craig malloy is employed,"meng zhang, will hicks, liliana claar, rumesha ahmed, karim remtoula",3,0,1,Not found
148,who are the directors of the company where will hicks is employed,"craig malloy, mukesh singh, todd kennedy, jonathan eady, katherine bass",3,0,1,Not found
148,who are the directors of the company where rumesha ahmed is employed,"craig malloy, mukesh singh, todd kennedy, jonathan eady, katherine bass",3,0,1,Not found
148,who are the managing directors of the company which is the lender in the agreement,"greg strauss, p. nicholas rogers",3,0,1,Greg Strauss
148,who are the senior vice presidents of the company which is the co syndication agents in the agreement,"emily chott, r. ruining nguyen, jonathan f. lindvall",3,0,1,"Emily Chott, R. Ruining Nguyen, Jonathan F. Lindvall"
148,who are the senior vice presidents of the company which is the lender in the agreement,"emily chott, r. ruining nguyen, jonathan f. lindvall",3,0,1,"R. Ruining Nguyen, Jonathan F. Lindvall, Meng Zhang, Will Hicks"
148,who are the vice presidents of the company which is the administrative agent in the agreement,"meng zhang, will hicks, liliana claar, rumesha ahmed, karim remtoula",3,0,1,Liliana Claar
148,who are the directors of the company which is the lender in the agreement,"craig malloy, mukesh singh, todd kennedy, jonathan eady, katherine bass",3,0,1,"Mukesh Singh, Jonathan Eady, Todd Kennedy, Craig Malloy, Peter S. Preoun, Katherine Bass"
148,what companies are the lender but not the administrative agent in the agreement,"td bank, pnc bank, bnp paribas, truist bank, hsbc bank usa, mufg union bank, wells fargo bank, barclays bank plc, jpmorgan chase bank, morgan stanley bank, the bank of nova scotia, the northern trust company, national westminster bank plc, u.s. bank national association",2,1,1,"BNP PARIBAS, TD BANK, N.A., WELLS FARGO BANK, NATIONAL ASSOCIATION, HSBC BANK USA, NATIONAL ASSOCIATION, NATIONAL WESTMINSTER BANK PLC, PNC BANK, NATIONAL ASSOCIATION, THE BANK OF NOVA SCOTIA, U.S. BANK NATIONAL ASSOCIATION, MUFG UNION BANK, N.A., BARCLAYS BANK Plc, MORGAN STANLEY BANK, N.A., THE NORTHERN TRUST COMPANY, JPMORGAN CHASE BANK, N.A., TRUIST BANK"
148,what companies are the lender but not the co syndication agents in the agreement,"pnc bank, truist bank, hsbc bank usa, bank of america, mufg union bank, wells fargo bank, barclays bank plc, jpmorgan chase bank, morgan stanley bank, the bank of nova scotia, the northern trust company, national westminster bank plc, u.s. bank national association",2,1,1,"HSBC BANK USA, NATIONAL ASSOCIATION, NATIONAL WESTMINSTER BANK PLC, PNC BANK, NATIONAL ASSOCIATION, THE BANK OF NOVA SCOTIA, U.S. BANK NATIONAL ASSOCIATION, MUFG UNION BANK, N.A., BARCLAYS BANK Plc, MORGAN STANLEY BANK, N.A., THE NORTHERN TRUST COMPANY, JPMORGAN CHASE BANK, N.A., TRUIST BANK, BANK OF AMERICA, N.A."
148,what companies are the lender but not the documentation agents in the agreement,"td bank, pnc bank, bnp paribas, truist bank, hsbc bank usa, bank of america, mufg union bank, wells fargo bank, barclays bank plc, jpmorgan chase bank, morgan stanley bank, the northern trust company",2,1,1,"BNP PARIBAS, TD BANK, N.A., WELLS FARGO BANK, NATIONAL ASSOCIATION, MUFG UNION BANK, N.A., BARCLAYS BANK Plc, MORGAN STANLEY BANK, N.A., THE NORTHERN TRUST COMPANY, JPMORGAN CHASE BANK, N.A., TRUIST BANK, BANK OF AMERICA, N.A."
162,who are the presidents of the company which is the guarantor in the agreement,"mark d. andrews, michael j. niedermaier",3,0,1,Mark D. Andrews
162,who are the vice presidents of the company which is the lender in the agreement,"ivan davey, michael king",3,0,1,"Ivan Davey, Michael King, Jay Fort"
162,who are the secretarys of the company which is the guarantor in the agreement,"michael rasmuson, michael j. niedermaier",3,0,1,"Michael Rasmuson, Michael J. Niedermaier, Mark D. Andrews"
166,what companies are the bookrunners but not the lead arrangers in the agreement,"ltd., ing bank n.v., singapore branch, barclays bank plc, state bank of india, standard chartered bank, kotak mahindra bank limited, the bank of tokyo mitsubishi ufj, citigroup global markets asia limited",2,1,1,Not found
166,what companies are the bookrunners but not the lender in the agreement,"ing bank n.v., singapore branch, icici bank limited, citigroup global markets asia limited",2,1,1,Not found
164,"what roles does u.s. bank national association have in the agreement which are not the roles of suntrust robinson humphrey, inc","lender, lc issuer, administrative agent",2,1,1,"U.S. Bank National Association is the LC Issuer, Swing Line Lender, and Administrative Agent, roles not held by SunTrust Robinson Humphrey, Inc."
164,what roles does u.s. bank national association have in the agreement which are not the roles of truist bank,"lc issuer, book runners, administrative agent",2,1,1,"U.S. Bank National Association is the LC Issuer, Swing Line Lender, and Administrative Agent, roles not held by Truist Bank."
164,what roles does u.s. bank national association have in the agreement which are not the roles of regions bank,"lc issuer, book runners, administrative agent",2,1,1,"U.S. Bank National Association is the LC Issuer, Swing Line Lender, and Administrative Agent, roles not held by Regions Bank."
164,what companies are the lender but not the  book runners in the agreement,"arvest bank, truist bank, regions bank, comerica bank, commerce bank, fifth third bank",2,1,1,"Arvest Bank, Comerica Bank, Fifth Third Bank, UMB Bank N.A."
164,what companies are the lender but not the syndication agents in the agreement,"arvest bank, comerica bank, commerce bank, fifth third bank, u.s. bank national association",2,1,1,"Arvest Bank, Comerica Bank, Commerce Bank, Fifth Third Bank, UMB Bank N.A."
170,who are the managing directors of the company which is the administrative agent in the agreement,"diane emanuel, susan t. gallagher",3,0,1,"Susan T. Gallagher, Diane Emanuel"
170,who are the managing directors of the company which is the co documentation agent in the agreement,"diane emanuel, susan t. gallagher",3,0,1,Diane Emanuel
170,who are the managing directors of the company which is the co syndication agent in the agreement,"diane emanuel, susan t. gallagher",3,0,1,Susan T. Gallagher
